# Número de partículas:      6912
# Temperatura de referencia: 2.00
# Pasos de equilibración:    500
# Pasos de medición:         1500
# (mediciones cada 10 pasos)
# densidad, volumen, energía potencial media, presión media
1.200000	5760.000000	-37972.583333	28.841504
1.100000	6283.636230	-41035.210000	17.713211
1.000000	6912.000000	-34886.206667	15.226610
0.900000	7680.000000	-34809.773333	9.112243
0.800000	8640.000000	-32885.830000	5.291973
0.700000	9874.286133	-29772.683333	3.023092
0.600000	11520.000000	-25938.273333	1.754839
0.500000	13824.000000	-21783.001667	1.065090
0.400000	17280.000000	-17529.693333	0.701444
# Tiempo total de simulación = 34.572589 segundos
# Tiempo simulado = 108.004065 [fs]
# ns/day = 0.269912
# cells/s = 199.927174

