# Número de partículas:      27436
# Temperatura de referencia: 2.00
# Pasos de equilibración:    500
# Pasos de medición:         1500
# (mediciones cada 10 pasos)
# densidad, volumen, energía potencial media, presión media
1.200000	22863.332031	-150739.453333	28.840618
1.100000	24941.818359	-162822.226667	17.725313
1.000000	27436.000000	-138646.160000	15.197542
0.900000	30484.445312	-138242.560000	9.094856
0.800000	34295.000000	-130499.160000	5.302161
0.700000	39194.285156	-118133.000000	3.035597
0.600000	45726.664062	-102973.586667	1.755986
0.500000	54872.000000	-86497.400000	1.068059
0.400000	68590.000000	-69592.380000	0.706019
# Tiempo total de simulación = 134.210818 segundos
# Tiempo simulado = 108.004065 [fs]
# ns/day = 0.069529
# cells/s = 204.424654

