# Número de partículas:      23328
# Temperatura de referencia: 2.00
# Pasos de equilibración:    500
# Pasos de medición:         1500
# (mediciones cada 10 pasos)
# densidad, volumen, energía potencial media, presión media
1.200000	19440.000000	-128197.946667	28.833408
1.100000	21207.271484	-138428.666667	17.727715
1.000000	23328.000000	-118031.866667	15.166110
0.900000	25920.000000	-117449.480000	9.117447
0.800000	29160.000000	-110999.986667	5.293676
0.700000	33325.714844	-100469.413333	3.031625
0.600000	38880.000000	-87514.920000	1.757799
0.500000	46656.000000	-73473.340000	1.076354
0.400000	58320.000000	-59201.433333	0.704748
# Tiempo total de simulación = 143.303525 segundos
# Tiempo simulado = 108.004065 [fs]
# ns/day = 0.065117
# cells/s = 162.787342

